Follower Athlete ID,Follow Status,Created At
53356531,Accepted,"Aug 21, 2022, 8:34:36 PM"
83315457,Accepted,"Aug 21, 2022, 9:23:57 PM"
16321586,Accepted,"Aug 21, 2022, 9:46:20 PM"
36001082,Accepted,"Aug 26, 2022, 7:13:10 AM"
27073016,Accepted,"Aug 28, 2022, 11:37:08 AM"
107519857,Accepted,"Aug 28, 2022, 11:44:59 AM"
29238165,Accepted,"Aug 28, 2022, 11:48:54 AM"
30076498,Accepted,"Aug 28, 2022, 1:30:40 PM"
74289322,Accepted,"Sep 1, 2022, 1:35:48 PM"
59923530,Accepted,"Sep 29, 2022, 6:22:02 PM"
104242674,Accepted,"Oct 7, 2022, 10:35:17 AM"
64892395,Accepted,"Oct 18, 2022, 8:43:35 AM"
113127005,Accepted,"Feb 28, 2023, 10:49:49 AM"
20934400,Accepted,"Feb 28, 2023, 2:10:31 PM"
110495044,Accepted,"Feb 28, 2023, 2:39:32 PM"
42107856,Accepted,"Feb 28, 2023, 7:44:17 PM"
114440399,Accepted,"Feb 28, 2023, 7:56:37 PM"
53438742,Accepted,"Feb 28, 2023, 7:58:28 PM"
114323839,Accepted,"Mar 1, 2023, 10:00:22 AM"
10856611,Accepted,"Mar 1, 2023, 5:26:43 PM"
113460408,Accepted,"Mar 5, 2023, 3:51:21 PM"
70260221,Accepted,"Mar 26, 2023, 6:52:16 PM"
71701666,Accepted,"Apr 13, 2023, 5:47:22 PM"
41228505,Accepted,"Apr 17, 2023, 9:36:38 PM"
1113577,Accepted,"May 12, 2023, 5:33:32 PM"
117465546,Accepted,"May 20, 2023, 6:48:00 AM"
53031089,Accepted,"Jun 5, 2023, 12:27:51 PM"
20406903,Accepted,"Jun 11, 2023, 5:34:06 PM"
120786183,Accepted,"Jul 25, 2023, 12:41:19 PM"
55696471,Accepted,"Jul 27, 2023, 8:19:26 PM"
66354984,Accepted,"Sep 16, 2023, 9:38:34 AM"
87492843,Accepted,"Sep 17, 2023, 7:36:55 AM"
32913462,Accepted,"Sep 17, 2023, 9:28:39 AM"
