Following Athlete ID,Follow Status,Created At
36001082,Accepted,"Aug 21, 2022, 8:32:38 PM"
16321586,Accepted,"Aug 21, 2022, 8:33:22 PM"
53356531,Accepted,"Aug 21, 2022, 9:47:43 PM"
29238165,Accepted,"Aug 28, 2022, 11:17:36 AM"
27073016,Accepted,"Aug 28, 2022, 11:18:19 AM"
64892395,Accepted,"Aug 28, 2022, 11:19:03 AM"
30076498,Accepted,"Aug 28, 2022, 11:19:04 AM"
107135017,Accepted,"Aug 28, 2022, 11:19:27 AM"
74289322,Accepted,"Aug 28, 2022, 11:20:05 AM"
107519857,Accepted,"Aug 29, 2022, 11:59:14 AM"
59923530,Accepted,"Sep 29, 2022, 8:53:08 PM"
104242674,Accepted,"Oct 7, 2022, 7:34:01 AM"
113726201,Accepted,"Feb 10, 2023, 10:56:25 AM"
42107856,Accepted,"Feb 26, 2023, 6:27:24 PM"
113127005,Accepted,"Feb 28, 2023, 1:58:16 PM"
20934400,Accepted,"Feb 28, 2023, 3:04:37 PM"
110495044,Accepted,"Feb 28, 2023, 3:04:38 PM"
114440399,Accepted,"Feb 28, 2023, 7:53:38 PM"
53438742,Accepted,"Feb 28, 2023, 7:53:40 PM"
10856611,Accepted,"Feb 28, 2023, 7:54:08 PM"
114323839,Accepted,"Mar 1, 2023, 10:55:39 AM"
113460408,Accepted,"Mar 4, 2023, 5:09:37 PM"
41228505,Accepted,"Mar 4, 2023, 5:10:29 PM"
70260221,Accepted,"Mar 26, 2023, 7:47:52 PM"
71701666,Accepted,"Apr 13, 2023, 5:47:00 PM"
1113577,Accepted,"May 12, 2023, 7:07:53 PM"
117465546,Accepted,"May 20, 2023, 6:55:51 AM"
53031089,Accepted,"Jun 5, 2023, 12:19:32 PM"
20406903,Accepted,"Jun 11, 2023, 9:18:16 PM"
120786183,Accepted,"Jul 25, 2023, 1:04:09 PM"
55696471,Accepted,"Jul 27, 2023, 8:17:51 PM"
66354984,Accepted,"Sep 16, 2023, 2:00:59 PM"
87492843,Accepted,"Sep 17, 2023, 8:46:37 AM"
32913462,Accepted,"Sep 17, 2023, 8:47:56 AM"
