Promotion Seen,Timestamp
FeedFollowOptionCoachmark,1661118479
GapActivityDetailUpsell,1663489146
GapActivityDetailUpsell,1664127603
GapActivityDetailUpsell,1664127627
GapActivityDetailFeatureEd,1683529315
GapActivityDetailFeatureEd,1683529359
GapActivityDetailFeatureEd,1683529371
GroupTabSmallGroupChallenge,1677660486
ActivityDetailsLeaderboardQualityCoachmark,1683181455
ActivityDetailsLeaderboardQualityCoachmark,1683181462
RecordScreenBeaconCoachmark,1661113323
MapSettingsPersonalHeatmapCoachmark,1661118525
MapVisibilityActivityCoachmarkImpression,1661869729
MapVisibilityActivityCoachmarkDismissed,1661869753
WelcomeBackKudosCoachmarkImpression,1661118480
WelcomeBackKudosCoachmarkImpression,1661118647
WelcomeBackKudosCoachmarkImpression,1661428415
WelcomeBackKudosCoachmarkImpression,1661428430
WelcomeBackKudosCoachmarkImpression,1661462106
WelcomeBackKudosCoachmarkImpression,1661869719
WelcomeBackKudosCoachmarkImpression,1673476549
WelcomeBackKudosCoachmarkImpression,1673476553
WelcomeBackKudosCoachmarkImpression,1677614115
WelcomeBackKudosCoachmarkImpression,1677614367
WelcomeBackKudosCoachmarkImpression,1677615899
WelcomeBackKudosCoachmarkImpression,1677716001
WelcomeBackKudosCoachmarkImpression,1678313564
WelcomeBackKudosCoachmarkImpression,1678313566
WelcomeBackKudosCoachmarkImpression,1680504347
WelcomeBackKudosCoachmarkImpression,1683452114
WelcomeBackKudosCoachmarkImpression,1688592725
WelcomeBackKudosCoachmarkImpression,1688593717
WelcomeBackKudosCoachmarkImpression,1688593823
WelcomeBackKudosCoachmarkImpression,1688889258
WelcomeBackKudosCoachmarkImpression,1688897986
WelcomeBackKudosCoachmarkImpression,1688897988
WelcomeBackKudosCoachmarkImpression,1689023563
WelcomeBackKudosCoachmarkImpression,1689887272
WelcomeBackKudosCoachmarkImpression,1689889978
WelcomeBackKudosCoachmarkImpression,1689889981
WelcomeBackKudosCoachmarkImpression,1692223195
WelcomeBackKudosCoachmarkImpression,1692223197
WelcomeBackKudosCoachmarkImpression,1692223582
WelcomeBackKudosCoachmarkImpression,1692312734
WelcomeBackKudosCoachmarkImpression,1692341168
WelcomeBackKudosCoachmarkImpression,1692342511
WelcomeBackKudosCoachmarkImpression,1692436257
WelcomeBackKudosCoachmarkImpression,1692437514
WelcomeBackKudosCoachmarkImpression,1692440599
WelcomeBackKudosCoachmarkImpression,1692606382
WelcomeBackKudosCoachmarkImpression,1692606385
WelcomeBackKudosCoachmarkImpression,1692610755
WelcomeBackKudosCoachmarkImpression,1694255702
WelcomeBackKudosCoachmarkImpression,1694255705
WelcomeBackKudosCoachmarkImpression,1696922455
WelcomeBackKudosCoachmarkImpression,1700061452
WelcomeBackKudosCoachmarkImpression,1700588643
RouteFromActivityMoreOptionsButtonCoachmark,1661118545
RouteFromActivitySaveButtonCoachmark,1663503070
MapVisibilitySettingCogCoachmark,1662241791
Map3dEducationVisibility,1661113264
RouteLongPressCoachmark,1661688771
WinbackNotificationSeen,1673440861
WinbackNotificationSeen,1678300150
WinbackNotificationSeen,1688590057
WinbackNotificationSeen,1689019193
WinbackNotificationSeen,1689876848
WinbackNotificationSeen,1692216307
WinbackNotificationSeen,1694251957
WinbackNotificationSeen,1696093672
WinbackNotificationSeen,1696921957
WinbackNotificationSeen,1699973556
WinbackNotificationSeen,1700578112
MentionsSettingCogCoachmark,1661112982
DirtSportsSportPicker,1661113265
DirtSportsSportPicker,1661607852
DirtSportsSportPicker,1661869510
MapsTabDirtFirstTimeExperienceFree,1662052086
MapsTabDirtFirstTimeExperienceFree,1673476576
OfflineMapsFirstTimeExperience,1661113350
OfflineMapsFirstTimeExperience,1673476579
VideoNotificationMonthlySoftLimit,1663864185
VideoNotificationMonthlySoftLimit,1667307160
VideoNotificationHardLimit,1663864185
VideoNotificationHardLimit,1667307160
SettingsStudentPlanNewLabel,1673476614
SettingsStudentPlanNewLabel,1673786163
FollowingFeedDoradoCooldown,1661112947
FollowingFeedDoradoCooldown,1661113004
FollowingFeedDoradoCooldown,1661113553
FollowingFeedDoradoCooldown,1661113554
FollowingFeedDoradoCooldown,1661113753
FollowingFeedDoradoCooldown,1661113754
FollowingFeedDoradoCooldown,1661113830
FollowingFeedDoradoCooldown,1661113831
FollowingFeedDoradoCooldown,1661118478
FollowingFeedDoradoCooldown,1661118479
FollowingFeedDoradoCooldown,1661118646
FollowingFeedDoradoCooldown,1661428414
FollowingFeedDoradoCooldown,1661428415
FollowingFeedDoradoCooldown,1661428429
FollowingFeedDoradoCooldown,1661462104
FollowingFeedDoradoCooldown,1661462106
FollowingFeedDoradoCooldown,1661462159
FollowingFeedDoradoCooldown,1661462160
FollowingFeedDoradoCooldown,1661462391
FollowingFeedDoradoCooldown,1661462392
FollowingFeedDoradoCooldown,1661501117
FollowingFeedDoradoCooldown,1661501118
FollowingFeedDoradoCooldown,1661501131
FollowingFeedDoradoCooldown,1661501132
FollowingFeedDoradoCooldown,1661501196
FollowingFeedDoradoCooldown,1661501197
FollowingFeedDoradoCooldown,1661607817
FollowingFeedDoradoCooldown,1661639183
FollowingFeedDoradoCooldown,1661639184
FollowingFeedDoradoCooldown,1661639196
FollowingFeedDoradoCooldown,1661676830
FollowingFeedDoradoCooldown,1661676831
FollowingFeedDoradoCooldown,1661676833
FollowingFeedDoradoCooldown,1661684944
FollowingFeedDoradoCooldown,1661684945
FollowingFeedDoradoCooldown,1661685178
FollowingFeedDoradoCooldown,1661685183
FollowingFeedDoradoCooldown,1661685448
FollowingFeedDoradoCooldown,1661685456
FollowingFeedDoradoCooldown,1661685457
FollowingFeedDoradoCooldown,1661685631
FollowingFeedDoradoCooldown,1661685632
FollowingFeedDoradoCooldown,1661686854
FollowingFeedDoradoCooldown,1661686859
FollowingFeedDoradoCooldown,1661687227
FollowingFeedDoradoCooldown,1661687228
FollowingFeedDoradoCooldown,1661687257
FollowingFeedDoradoCooldown,1661687269
FollowingFeedDoradoCooldown,1661688249
FollowingFeedDoradoCooldown,1661688250
FollowingFeedDoradoCooldown,1661688251
FollowingFeedDoradoCooldown,1661688405
FollowingFeedDoradoCooldown,1661688406
FollowingFeedDoradoCooldown,1661688455
FollowingFeedDoradoCooldown,1661688516
FollowingFeedDoradoCooldown,1661688517
FollowingFeedDoradoCooldown,1661688530
FollowingFeedDoradoCooldown,1661688534
FollowingFeedDoradoCooldown,1661688543
FollowingFeedDoradoCooldown,1661688544
FollowingFeedDoradoCooldown,1661688615
FollowingFeedDoradoCooldown,1661688618
FollowingFeedDoradoCooldown,1661688621
FollowingFeedDoradoCooldown,1661688622
FollowingFeedDoradoCooldown,1661688733
FollowingFeedDoradoCooldown,1661688734
FollowingFeedDoradoCooldown,1661688736
FollowingFeedDoradoCooldown,1661688738
FollowingFeedDoradoCooldown,1661698195
FollowingFeedDoradoCooldown,1661698197
FollowingFeedDoradoCooldown,1661698198
FollowingFeedDoradoCooldown,1661698238
FollowingFeedDoradoCooldown,1661711746
FollowingFeedDoradoCooldown,1661711747
FollowingFeedDoradoCooldown,1661711750
FollowingFeedDoradoCooldown,1661711765
FollowingFeedDoradoCooldown,1661711766
FollowingFeedDoradoCooldown,1661869315
FollowingFeedDoradoCooldown,1661869318
FollowingFeedDoradoCooldown,1661869319
